customer_sk,customer_id,first_name,last_name,email,residential_location,customer_segment
14,CUST_00014,Christina,Graham,christina.graham@yahoo.com,Las Vegas,Online Shopper
45,CUST_00045,Allison,Martinez,allison.martinez@yahoo.com,Sacramento,Occasional Shopper
240,CUST_00240,James,Gardner,james.gardner@gmail.com,Boston,Deal Seeker
332,CUST_00332,Jeffrey,Hancock,jeffrey.hancock@outlook.com,Indianapolis,First-time Buyer
368,CUST_00368,Jill,Frank,jill.frank@outlook.com,Oklahoma City,Online Shopper
435,CUST_00435,Nichole,Stevens,nichole.stevens@outlook.com,Albuquerque,Online Shopper
486,CUST_00486,Jonathan,Collins,jonathan.collins@gmail.com,Baltimore,Premium Shopper
488,CUST_00488,Kimberly,Baker,kimberly.baker@yahoo.com,Atlanta,Deal Seeker
491,CUST_00491,Jim,George,jim.george@outlook.com,Philadelphia,Budget Shopper
632,CUST_00632,Brandon,Johnson,brandon.johnson@yahoo.com,Philadelphia,Premium Shopper
690,CUST_00690,John,Garcia,john.garcia@gmail.com,Seattle,Deal Seeker
726,CUST_00726,Robert,Rodriguez,robert.rodriguez@outlook.com,Baltimore,Online Shopper
733,CUST_00733,Katherine,Taylor,katherine.taylor@yahoo.com,Indianapolis,High Value
739,CUST_00739,Noah,Craig,noah.craig@gmail.com,New York,Loyal Customer
786,CUST_00786,Travis,Gonzalez,travis.gonzalez@gmail.com,Fresno,Churn Risk
904,CUST_00904,Natalie,Sloan,natalie.sloan@yahoo.com,Las Vegas,Deal Seeker
929,CUST_00929,Alexis,Young,alexis.young@gmail.com,Arlington,Occasional Shopper
972,CUST_00972,William,Kelly,william.kelly@gmail.com,Milwaukee,Online Shopper
983,CUST_00983,David,Walter,david.walter@gmail.com,El Paso,Deal Seeker
1030,CUST_01030,Yvonne,Boone,yvonne.boone@gmail.com,Sacramento,Occasional Shopper
1060,CUST_01060,Stacie,Smith,stacie.smith@yahoo.com,Nashville,Online Shopper
1075,CUST_01075,Jerry,Randall,jerry.randall@outlook.com,Detroit,Occasional Shopper
1101,CUST_01101,David,Arellano,david.arellano@outlook.com,Sacramento,Loyal Customer
1191,CUST_01191,Chad,Smith,chad.smith@yahoo.com,Portland,Churn Risk
