customer_sk,customer_id,first_name,last_name,email,residential_location,customer_segment
315,CUST_00315,Christopher,Montgomery,christopher.montgomery@gmail.com,Fort Worth,High Value
349,CUST_00349,Edward,Brandt,edward.brandt@outlook.com,Indianapolis,Churn Risk
631,CUST_00631,Joseph,Oneal,joseph.oneal@yahoo.com,Jacksonville,Deal Seeker
685,CUST_00685,Kenneth,Hernandez,kenneth.hernandez@outlook.com,Colorado Springs,Occasional Shopper
744,CUST_00744,Anthony,Wilson,anthony.wilson@gmail.com,Raleigh,Deal Seeker
892,CUST_00892,Sara,Romero,sara.romero@outlook.com,Jacksonville,High Value
946,CUST_00946,Wendy,Francis,wendy.francis@gmail.com,Indianapolis,Occasional Shopper
1744,CUST_01744,Mary,Torres,mary.torres@gmail.com,Los Angeles,Premium Shopper
1753,CUST_01753,Mark,Nichols,mark.nichols@outlook.com,Miami,Loyal Customer
1980,CUST_01980,Amy,Ellis,amy.ellis@outlook.com,Mesa,Loyal Customer
2132,CUST_02132,Timothy,Brown,timothy.brown@outlook.com,New Orleans,First-time Buyer
2261,CUST_02261,Robert,Levine,robert.levine@yahoo.com,Oklahoma City,Churn Risk
2272,CUST_02272,Theresa,Harris,theresa.harris@gmail.com,Arlington,Occasional Shopper
2285,CUST_02285,Heather,Ferguson,heather.ferguson@yahoo.com,Denver,High Value
2473,CUST_02473,Jonathan,Garza,jonathan.garza@gmail.com,San Diego,First-time Buyer
2506,CUST_02506,Natalie,Lane,natalie.lane@gmail.com,Houston,Premium Shopper
2596,CUST_02596,Natalie,Fox,natalie.fox@outlook.com,Las Vegas,In-Store Regular
2682,CUST_02682,Timothy,Gibbs,timothy.gibbs@gmail.com,Las Vegas,Churn Risk
2783,CUST_02783,Richard,Salazar,richard.salazar@gmail.com,Columbus,First-time Buyer
2894,CUST_02894,Ashley,Payne,ashley.payne@gmail.com,Milwaukee,Premium Shopper
3214,CUST_03214,Brian,Thomas,brian.thomas@outlook.com,Kansas City,Premium Shopper
3384,CUST_03384,Kaylee,Perez,kaylee.perez@gmail.com,Boston,Loyal Customer
4616,CUST_04616,Brianna,Dixon,brianna.dixon@yahoo.com,Columbus,First-time Buyer
4689,CUST_04689,Michael,Lopez,michael.lopez@outlook.com,Tucson,Premium Shopper
4861,CUST_04861,Joanna,Newton,joanna.newton@yahoo.com,Seattle,In-Store Regular
5223,CUST_05223,Jaime,Owens,jaime.owens@gmail.com,New Orleans,Churn Risk
5396,CUST_05396,Tamara,Lester,tamara.lester@outlook.com,San Jose,Online Shopper
5450,CUST_05450,Amanda,Rodriguez,amanda.rodriguez@yahoo.com,Arlington,Budget Shopper
5483,CUST_05483,Tom,Mayo,tom.mayo@gmail.com,Virginia Beach,First-time Buyer
5897,CUST_05897,Jennifer,Alexander,jennifer.alexander@gmail.com,Miami,Deal Seeker
5927,CUST_05927,Janice,Evans,janice.evans@outlook.com,Memphis,High Value
5994,CUST_05994,Christopher,Hunter,christopher.hunter@outlook.com,Houston,Churn Risk
6038,CUST_06038,Jasmine,Calderon,jasmine.calderon@yahoo.com,Fresno,Deal Seeker
6158,CUST_06158,David,Cervantes,david.cervantes@yahoo.com,Albuquerque,High Value
6665,CUST_06665,Chris,Martin,chris.martin@outlook.com,Fresno,Deal Seeker
