salesperson_sk,salesperson_id,salesperson_name,salesperson_role
2,SP00002,Richard Avery,Manager
3,SP00003,Julie Avila,Manager
5,SP00005,Kathryn Jackson,Salesperson
9,SP00009,Sara Miller,Manager
10,SP00010,Anthony Spencer,Senior Salesperson
12,SP00012,Brett Mcmahon,Manager
13,SP00013,Karen Moreno,Sales Associate
14,SP00014,Samantha Gonzalez,Salesperson
16,SP00016,Melissa Robinson,Senior Salesperson
18,SP00018,Aaron Smith,Salesperson
19,SP00019,Matthew Hall,Senior Salesperson
20,SP00020,Daniel Stark,Senior Salesperson
21,SP00021,Thomas Huffman,Manager
22,SP00022,Kimberly Anderson,Manager
23,SP00023,Kelly Sutton,Manager
24,SP00024,Matthew Khan,Senior Salesperson
26,SP00026,Nathaniel Hill,Manager
29,SP00029,James Harper,Salesperson
30,SP00030,Matthew Johnson,Manager
31,SP00031,Chelsea Tucker,Manager
35,SP00035,Thomas Nguyen,Salesperson
36,SP00036,Cassandra Lane,Salesperson
38,SP00038,Randy Robinson,Manager
39,SP00039,Jodi Carney,Manager
43,SP00043,Shawn Jacobs,Senior Salesperson
44,SP00044,Jeffrey Waller,Manager
45,SP00045,Glenda Gates,Manager
46,SP00046,Deborah Thompson,Senior Salesperson
48,SP00048,Christopher Wheeler,Salesperson
49,SP00049,David Dillon,Sales Associate
50,SP00050,Jennifer Miller,Senior Salesperson
53,SP00053,Daniel Alvarez,Senior Salesperson
54,SP00054,Erin Carpenter,Manager
55,SP00055,Terri Walker,Senior Salesperson
56,SP00056,Luis Jones,Senior Salesperson
58,SP00058,Elizabeth Hall,Sales Associate
59,SP00059,Shannon Garza,Senior Salesperson
61,SP00061,Paul Brown,Sales Associate
62,SP00062,Janice Simpson,Manager
63,SP00063,Philip Sullivan,Salesperson
64,SP00064,Richard Sosa,Senior Salesperson
65,SP00065,John Edwards,Sales Associate
67,SP00067,Brad Wood,Manager
69,SP00069,Sue Green,Senior Salesperson
70,SP00070,Jonathon Thomas,Manager
75,SP00075,David Charles,Manager
76,SP00076,Brian Benson,Senior Salesperson
77,SP00077,Morgan James,Salesperson
78,SP00078,Katelyn Price,Sales Associate
81,SP00081,Amanda Moore,Manager
82,SP00082,Scott Green,Manager
83,SP00083,Jesse Reid,Senior Salesperson
84,SP00084,Sheena Powers,Senior Salesperson
87,SP00087,Carol Wilson,Senior Salesperson
91,SP00091,Teresa Perez,Manager
93,SP00093,Anthony Robinson,Manager
94,SP00094,Glenn Ryan,Senior Salesperson
95,SP00095,Teresa Wilson,Sales Associate
96,SP00096,Angela Gregory,Manager
97,SP00097,Joshua Jarvis,Sales Associate
99,SP00099,Renee Ross,Manager
100,SP00100,Michael Hansen,Manager
101,SP00101,Joseph Carroll,Sales Associate
102,SP00102,Michael Delgado,Senior Salesperson
103,SP00103,Christian Foster,Senior Salesperson
105,SP00105,Tyler Cortez,Manager
107,SP00107,Wayne Lane,Manager
110,SP00110,Carlos Ross,Salesperson
111,SP00111,Isaiah Wheeler,Manager
116,SP00116,Kyle Delgado,Senior Salesperson
117,SP00117,Julie Bentley,Sales Associate
119,SP00119,Erika Bell,Salesperson
120,SP00120,Helen Roach,Sales Associate
121,SP00121,Monica Patrick,Senior Salesperson
122,SP00122,Lori Smith,Senior Salesperson
124,SP00124,Douglas Beltran,Manager
127,SP00127,Krista Edwards,Sales Associate
128,SP00128,Stephanie Dennis,Sales Associate
129,SP00129,Chloe Wood,Sales Associate
131,SP00131,Alan Gibson,Manager
132,SP00132,Christian Flynn,Salesperson
134,SP00134,Jennifer Garcia,Manager
135,SP00135,Brett Contreras,Senior Salesperson
138,SP00138,Mariah Smith,Senior Salesperson
139,SP00139,Willie Hebert,Senior Salesperson
141,SP00141,Ronald Malone,Manager
145,SP00145,Sharon Smith,Sales Associate
146,SP00146,Molly Rogers,Senior Salesperson
149,SP00149,William Wilson,Salesperson
150,SP00150,David Rodriguez,Salesperson
152,SP00152,Jeanette Moran,Salesperson
157,SP00157,Brooke Beltran,Sales Associate
158,SP00158,Megan Haynes,Manager
159,SP00159,Margaret Wolfe,Manager
160,SP00160,Frank Evans,Salesperson
162,SP00162,Gregory Macdonald,Manager
164,SP00164,Tracey Wallace,Manager
165,SP00165,Ronald Moore,Sales Associate
166,SP00166,Jared Garrison,Sales Associate
168,SP00168,Ariana Alvarado,Salesperson
170,SP00170,Reginald Joseph,Sales Associate
171,SP00171,Lisa Salinas,Manager
172,SP00172,Nathan Nash,Manager
173,SP00173,Heidi Jefferson,Sales Associate
174,SP00174,Gregory Anderson,Sales Associate
175,SP00175,Kimberly Williams,Manager
176,SP00176,Joseph Powell,Senior Salesperson
177,SP00177,Kevin Collins,Manager
178,SP00178,Sarah Brown,Sales Associate
181,SP00181,Michael Murray,Salesperson
182,SP00182,Mary Owens,Sales Associate
185,SP00185,Lee Terry,Manager
186,SP00186,Kayla Diaz,Senior Salesperson
187,SP00187,Tiffany Mitchell,Manager
190,SP00190,Sara Yates,Sales Associate
191,SP00191,Jessica Palmer,Senior Salesperson
193,SP00193,Jeremy Barrera,Manager
196,SP00196,Morgan Cooper,Sales Associate
197,SP00197,Maria Parks,Manager
198,SP00198,Lisa West,Sales Associate
199,SP00199,Eduardo Campbell,Manager
200,SP00200,Regina Myers,Salesperson
201,SP00201,Richard Morgan,Sales Associate
202,SP00202,Amanda Henson,Manager
204,SP00204,Wendy Jacobson,Senior Salesperson
206,SP00206,Danielle Hoffman,Sales Associate
212,SP00212,Johnathan Miller,Manager
213,SP00213,Mary Richmond,Sales Associate
216,SP00216,Denise Porter,Senior Salesperson
218,SP00218,Mary Barker,Manager
219,SP00219,Jason Dougherty,Manager
221,SP00221,Vincent Pierce,Manager
223,SP00223,Jessica Sharp,Manager
225,SP00225,James Marsh,Senior Salesperson
228,SP00228,Robert Kramer,Senior Salesperson
229,SP00229,Kimberly Shepherd,Manager
230,SP00230,Heather Moore,Manager
232,SP00232,Jennifer Ortega,Salesperson
233,SP00233,Brenda Price,Salesperson
236,SP00236,Raymond Morales,Manager
240,SP00240,Debbie Williams,Senior Salesperson
243,SP00243,Sarah Figueroa,Manager
244,SP00244,Jonathan Butler,Salesperson
245,SP00245,Audrey Ward,Manager
247,SP00247,Thomas Fernandez,Salesperson
249,SP00249,Christopher Meadows,Senior Salesperson
250,SP00250,Micheal Henry,Senior Salesperson
251,SP00251,Erin Lambert,Manager
252,SP00252,Brian Prince,Senior Salesperson
253,SP00253,Kevin Jordan,Sales Associate
254,SP00254,Ashley Holder,Sales Associate
256,SP00256,Brenda Aguilar,Manager
257,SP00257,Kathleen Gray,Senior Salesperson
258,SP00258,Ryan Cooley,Manager
259,SP00259,Thomas Hoover,Manager
260,SP00260,Melissa Burton,Manager
262,SP00262,Michael Stewart,Salesperson
263,SP00263,Jennifer Kramer,Salesperson
264,SP00264,Courtney Clark,Manager
265,SP00265,Angela Cain,Salesperson
266,SP00266,Christy Jones,Salesperson
267,SP00267,Dana Smith,Salesperson
270,SP00270,Steven Lee,Sales Associate
273,SP00273,Michael Guerra,Sales Associate
276,SP00276,Joanna Brown,Salesperson
277,SP00277,Brian Stevens,Salesperson
278,SP00278,Stephanie Hubbard,Manager
281,SP00281,William Adams,Sales Associate
284,SP00284,Amanda Cole,Salesperson
285,SP00285,Matthew Hood,Salesperson
286,SP00286,Kayla Sanders,Senior Salesperson
287,SP00287,Kimberly Montes,Sales Associate
291,SP00291,Thomas Douglas,Manager
292,SP00292,Jeremy Solomon,Salesperson
294,SP00294,Michelle Spencer,Sales Associate
295,SP00295,Michael Gregory,Sales Associate
296,SP00296,Joshua Smith,Senior Salesperson
298,SP00298,Gilbert James,Manager
301,SP00301,Jose Cole,Senior Salesperson
304,SP00304,Joseph Gibson,Manager
305,SP00305,Scott Brady,Manager
306,SP00306,Matthew Kelley,Sales Associate
307,SP00307,Shelly Taylor,Senior Salesperson
308,SP00308,Todd Martin,Salesperson
310,SP00310,Christy Bush,Manager
311,SP00311,Juan Walker,Senior Salesperson
312,SP00312,Alison Pace,Manager
313,SP00313,Lori Gutierrez,Salesperson
314,SP00314,Paul Jones,Manager
315,SP00315,Jessica Davila,Manager
321,SP00321,Jonathan Smith,Manager
322,SP00322,Jason Miller,Senior Salesperson
323,SP00323,Eric Moran,Senior Salesperson
324,SP00324,William Rivera,Senior Salesperson
326,SP00326,Samantha Smith,Salesperson
328,SP00328,Katherine Allen,Senior Salesperson
330,SP00330,Cassandra Brown,Manager
331,SP00331,Michael Tyler,Senior Salesperson
333,SP00333,Heather Parrish,Senior Salesperson
334,SP00334,Deborah Jenkins,Manager
335,SP00335,David Roberts,Manager
337,SP00337,Laurie Rubio,Manager
338,SP00338,Brandy Morse,Manager
339,SP00339,Alejandro Fox,Manager
340,SP00340,Tammy Soto,Sales Associate
341,SP00341,Tim Flores,Manager
342,SP00342,Richard Cline,Salesperson
343,SP00343,Aaron Cook,Manager
345,SP00345,Roy Rangel,Senior Salesperson
347,SP00347,Monica Thomas,Manager
348,SP00348,Ana Ortiz,Manager
349,SP00349,Vincent Collins,Salesperson
351,SP00351,Laura Simmons,Sales Associate
352,SP00352,Carolyn Reynolds,Senior Salesperson
353,SP00353,Monique Anderson,Manager
354,SP00354,Jennifer Romero,Salesperson
355,SP00355,Holly Sandoval,Sales Associate
357,SP00357,David Chavez,Sales Associate
359,SP00359,Dennis Bennett,Manager
360,SP00360,Jamie Coleman,Salesperson
361,SP00361,Alyssa Cameron,Senior Salesperson
362,SP00362,Shelby Atkinson,Manager
365,SP00365,Ryan Davis,Salesperson
372,SP00372,Mikayla Simon,Sales Associate
374,SP00374,Kim West,Senior Salesperson
377,SP00377,Peter Dalton,Senior Salesperson
378,SP00378,Marcus Camacho,Senior Salesperson
380,SP00380,Victor Richmond,Manager
382,SP00382,Brian Perez,Sales Associate
383,SP00383,James Rosales,Manager
385,SP00385,Shannon Walker,Manager
