salesperson_sk,salesperson_id,salesperson_name,salesperson_role
27,SP00027,Donald Stewart,Sales Associate
28,SP00028,Jacqueline Chen,Senior Salesperson
33,SP00033,Nicole Anderson,Sales Associate
47,SP00047,Michael Oliver,Sales Associate
60,SP00060,Brian Rose,Salesperson
72,SP00072,Michelle Wilkerson,Sales Associate
86,SP00086,Natalie Miller,Manager
109,SP00109,Jeremiah Weber,Sales Associate
112,SP00112,Lindsay Rios,Sales Associate
115,SP00115,Julie Oliver,Senior Salesperson
133,SP00133,Joseph Horton,Sales Associate
140,SP00140,David Wilson,Sales Associate
142,SP00142,Rachel Ball,Senior Salesperson
143,SP00143,James King,Senior Salesperson
154,SP00154,Kathleen Wood,Sales Associate
155,SP00155,Timothy Baxter,Salesperson
167,SP00167,Brandon Gross,Manager
183,SP00183,Joseph Garcia,Sales Associate
205,SP00205,Timothy Herrera,Sales Associate
211,SP00211,Jason Miller,Sales Associate
215,SP00215,Susan Robinson,Salesperson
222,SP00222,Tara Johnson,Salesperson
226,SP00226,Deanna Gordon,Sales Associate
231,SP00231,Adam Hernandez,Salesperson
238,SP00238,Brooke Krueger,Salesperson
242,SP00242,Juan Davis,Senior Salesperson
269,SP00269,Dylan Rivera,Senior Salesperson
290,SP00290,Amanda Rodriguez,Salesperson
299,SP00299,Lauren Wong,Salesperson
300,SP00300,Michael Ritter,Senior Salesperson
318,SP00318,Amy Garcia,Manager
363,SP00363,Gabriel Allen,Senior Salesperson
379,SP00379,Stacy Reid,Senior Salesperson
384,SP00384,Zachary Smith,Senior Salesperson
390,SP00390,Alexa Williams,Salesperson
401,SP00401,Kelsey Vaughan,Salesperson
402,SP00402,Arthur Martinez,Sales Associate
404,SP00404,Ashley Bruce,Manager
414,SP00414,John Jennings,Salesperson
426,SP00426,Stephanie Garza,Salesperson
440,SP00440,Jeremy Graham,Sales Associate
467,SP00467,Austin Butler,Salesperson
491,SP00491,Katherine Kemp,Senior Salesperson
508,SP00508,Brandon Jones,Salesperson
532,SP00532,Kimberly Roberts,Salesperson
552,SP00552,Christine Dickson,Manager
554,SP00554,Angela Hendrix,Salesperson
577,SP00577,James Harris,Senior Salesperson
578,SP00578,Bobby Cisneros,Sales Associate
582,SP00582,Jennifer Hunt,Senior Salesperson
592,SP00592,Jessica Romero,Sales Associate
595,SP00595,Laura Sanchez,Manager
614,SP00614,Mary Ellis,Senior Salesperson
624,SP00624,Steven Stewart,Senior Salesperson
628,SP00628,Katelyn Ford,Senior Salesperson
632,SP00632,Michelle Salinas,Sales Associate
646,SP00646,Brian Clark,Salesperson
654,SP00654,Matthew Hunt,Sales Associate
655,SP00655,Jeremy Cantu,Sales Associate
656,SP00656,Evan Villegas,Sales Associate
680,SP00680,Christopher Singleton,Sales Associate
682,SP00682,Casey Mendoza,Senior Salesperson
687,SP00687,Catherine Johnson,Salesperson
696,SP00696,Victoria Russell,Sales Associate
705,SP00705,Cassandra Barrett,Senior Salesperson
747,SP00747,Shawn Mcbride,Senior Salesperson
750,SP00750,Kathryn Erickson,Senior Salesperson
766,SP00766,Antonio Stevens,Senior Salesperson
777,SP00777,Taylor Johnson,Sales Associate
780,SP00780,Lauren Thomas,Manager
784,SP00784,Teresa Boyd,Salesperson
795,SP00795,Karen Franklin,Senior Salesperson
797,SP00797,Heather Bailey,Sales Associate
809,SP00809,Joseph Bowers,Salesperson
833,SP00833,Michelle Barnes,Salesperson
835,SP00835,Jeffery Scott,Senior Salesperson
839,SP00839,Renee Blake,Senior Salesperson
850,SP00850,Cody Mejia,Sales Associate
854,SP00854,Emily Fox,Sales Associate
872,SP00872,Raymond Davidson,Sales Associate
881,SP00881,Michael Weber,Salesperson
892,SP00892,Corey Martin,Salesperson
917,SP00917,Shaun Berry,Salesperson
924,SP00924,Troy Johnson,Salesperson
926,SP00926,Leonard Tyler,Senior Salesperson
932,SP00932,Erik Evans,Senior Salesperson
979,SP00979,Walter Manning,Salesperson
